Y,X,ID,Debrisno,County,Town,Vill,Overflowno,Overflow_X,Overflow_Y,Address,Total_Res,Res_Class,Risk,Dbno_old,TR_num
23.7851971754218,120.924254728825,932,投縣DF237,南投縣,信義鄉,人和村,CD01,242200,2630845,信義鄉人和村波石103、117號,2,1~4戶,中,投縣M100-95,2
23.5386155156457,120.917071908763,933,投縣DF201,南投縣,信義鄉,同富村,CD01,241371,2604005,無,0,無,中,南投035,0
23.5639284271926,120.874546450421,934,投縣DF202,南投縣,信義鄉,同富村,CD01,237517,2606481,信義鄉同富村太平巷58、62、63、64、67、74、75、93號，共8戶,8,5戶以上,高,南投036,8
23.5714462324257,120.883846044861,935,投縣DF203,南投縣,信義鄉,同富村,BD01,238528,2607238,無,0,無,中,南投074,0
23.5523417603064,120.871489533484,936,投縣DF228,南投縣,信義鄉,同富村,BD01,237072,2605214,信義鄉同富村11鄰太平巷103之1、104、105之1、109之1號、12鄰太平巷107、107之1、107之2號,7,5戶以上,高,投縣M99-19,7
23.5919719160095,120.887405206764,937,投縣DF229,南投縣,信義鄉,同富村,CD01,238271,2609710,信義鄉同富村同和巷10、17-1、17~21、22-1、22-2、22~30、25-1、26-1、26-2、31-1、32-1、32~34、34-1、36、37-1、37-2、39、40、40-1、40-3、41-1、41-2、41-5、41-6、41-7、50、51-2、51-3、52-2、53-1、53-3、53~56、54-1、54,62,5戶以上,中,投縣M99-21,62
23.577481508609,120.888183252629,938,投縣DF235,南投縣,信義鄉,同富村,BD01,238646,2607958,信義鄉同富村太平巷17之1號、26之1、26之2、26之6號,4,1~4戶,低,投縣M100-15,4
23.795356824445,120.948931552787,939,投縣DF181,南投縣,信義鄉,地利村,CD01,244988,2632632,信義鄉地利村開信巷61、61之1、63、63之3、64、65、65之1、65之2、68、68之1、68之2、70、70之1、70之2、70之3、73之2、73之3、74、74之1、74之2、75、76、76之1、76之2、76之3、76之5、77、77之1、80、80之1、8,56,5戶以上,高,南投023,56
23.6903216865315,120.849084686537,940,投縣DF192,南投縣,信義鄉,自強村,CD01,234177,2620259,信義鄉自強村綠美巷1、3~6、6之1、7、7之1、8、9、9之1、9之2、10、10之1、10之2、11之1、11之2、12之1、12之2、14之1、19~21、21之3、22、22之1、23、25、25之1、25之5、26、27、27之1、28、28之1、29、29之1��,105,5戶以上,高,南投072,105
23.6785510306757,120.861118814403,941,投縣DF220,南投縣,信義鄉,自強村,CD01,235633,2619370,信義鄉自強村陽和巷1號,1,1~4戶,高,投縣M99-26,1
